name,current_price,original_price,discount,url,full_url,image,brand,product_id
"XIAOMI Redmi A3X, 6.71"", 3GB RAM + 64GB (Dual SIM), 5000mAh, Black","KSh 7,699","KSh 9,200",16%,/xiaomi-redmi-a3x-6.71-3gb-ram-64gb-dual-sim-5000mah-black-325617774.html,https://www.jumia.co.ke/xiaomi-redmi-a3x-6.71-3gb-ram-64gb-dual-sim-5000mah-black-325617774.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/7716523/1.jpg?3620,XIAOMI,XI996MP5R1YBONAFAMZ
"Itel City 100, 6.75"", 6GB RAM + 128GB, 5200mAh (Dual Sim) - Blue","KSh 9,750","KSh 12,000",19%,/itel-city-100-6.75-6gb-ram-128gb-5200mah-dual-sim-blue-316824507.html,https://www.jumia.co.ke/itel-city-100-6.75-6gb-ram-128gb-5200mah-dual-sim-blue-316824507.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/5428613/1.jpg?8658,Itel,IT910MP64M0P9NAFAMZ
"VILLAON V25, 5"", (2+2)GB RAM + 64GB, 3000mAh (Dual SIM) - Black","KSh 4,599","KSh 5,500",16%,/villaon-v25-5-22gb-ram-64gb-3000mah-dual-sim-black-325721716.html,https://www.jumia.co.ke/villaon-v25-5-22gb-ram-64gb-3000mah-dual-sim-black-325721716.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/7127523/1.jpg?2706,VILLAON,VI724MP5ZCRCGNAFAMZ
"VILLAON V40s, 4G, 6.52Inch, 64GB + 4GB RAM, 4000mAh (Dual SIM) - Blue","KSh 7,100","KSh 9,000",21%,/villaon-v40s-4g-6.52inch-64gb-4gb-ram-4000mah-dual-sim-blue-325617775.html,https://www.jumia.co.ke/villaon-v40s-4g-6.52inch-64gb-4gb-ram-4000mah-dual-sim-blue-325617775.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/57/7716523/1.jpg?3621,VILLAON,VI724MP5X0ADGNAFAMZ
"Samsung Galaxy A16, 6.7"", 128GB + 4GB RAM (Dual SIM), 5000mAh, A 16 Phone -Black (2YRs WRTY)","KSh 15,699","KSh 19,000",17%,/samsung-galaxy-a16-6.7-128gb-4gb-ram-dual-sim-5000mah-a-16-phone-black-2yrs-wrty-307739234.html,https://www.jumia.co.ke/samsung-galaxy-a16-6.7-128gb-4gb-ram-dual-sim-5000mah-a-16-phone-black-2yrs-wrty-307739234.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/2937703/1.jpg?2075,Samsung,SA948MP5ODZ62NAFAMZ
"Infinix Smart 10 HD, 6.6"", 2GB RAM +64GB, 5000mAh, 4G - Timber Black (2YRs WRTY)","KSh 7,899","KSh 10,000",21%,/infinix-smart-10-hd-6.6-2gb-ram-64gb-5000mah-4g-timber-black-2yrs-wrty-325385609.html,https://www.jumia.co.ke/infinix-smart-10-hd-6.6-2gb-ram-64gb-5000mah-4g-timber-black-2yrs-wrty-325385609.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/6583523/1.jpg?1110,Infinix,IN213MP6GL5WWNAFAMZ
"Infinix  Hot 60 Pro+ 4G, 6.78"", 8GB RAM + 256GB, 5000mAh, Coral Tides + Free TWS Buds","KSh 24,020","KSh 30,000",20%,/infinix-hot-60-pro-4g-6.78-8gb-ram-256gb-5000mah-coral-tides-free-tws-buds-325979251.html,https://www.jumia.co.ke/infinix-hot-60-pro-4g-6.78-8gb-ram-256gb-5000mah-coral-tides-free-tws-buds-325979251.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/2979523/1.jpg?0382,Infinix,IN213MP57PXGGNAFAMZ
"Oale S25 Ultra - 6.6"" 64GB ROM 3GB RAM 8MP 5075mAh 3G DUAL SIM (with Earphones, Glass Protector, Cover) - Black","KSh 6,199","KSh 8,000",23%,/oale-s25-ultra-6.6-64gb-rom-3gb-ram-8mp-5075mah-3g-dual-sim-with-earphones-glass-protector-cover-black-325757195.html,https://www.jumia.co.ke/oale-s25-ultra-6.6-64gb-rom-3gb-ram-8mp-5075mah-3g-dual-sim-with-earphones-glass-protector-cover-black-325757195.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/1757523/1.jpg?8144,Oale,OA096MP5XUDS8NAFAMZ
"Samsung A06, 6.7"", 4GB RAM+ 64GB (Dual SIM), 5000mAh, Black (1YR WRTY)","KSh 9,799","KSh 14,322",32%,/samsung-a06-6.7-4gb-ram-64gb-dual-sim-5000mah-black-1yr-wrty-299889399.html,https://www.jumia.co.ke/samsung-a06-6.7-4gb-ram-64gb-dual-sim-5000mah-black-1yr-wrty-299889399.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/3988992/1.jpg?8885,Samsung,SA948MP4Y95O3NAFAMZ
"Itel S26 Ultra 4G, 6.78"" Curved Screen Corning, 128GB Storage + Up To 16GB RAM 5000mAh - Black Blue (1YR WRTY)","KSh 18,900","KSh 22,000",14%,/itel-s26-ultra-4g-6.78-curved-screen-corning-128gb-storage-up-to-16gb-ram-5000mah-black-blue-1yr-wrty-326125023.html,https://www.jumia.co.ke/itel-s26-ultra-4g-6.78-curved-screen-corning-128gb-storage-up-to-16gb-ram-5000mah-black-blue-1yr-wrty-326125023.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/0521623/1.jpg?2512,Itel,IT910MP5HP136NAFAMZ
"Itel A100C 4G, 6.6"", 6GB (2+4GB*) RAM + 64 GB (Dual SIM), 5000mAh, Black (1YR WRTY)","KSh 7,900","KSh 9,500",17%,/itel-a100c-4g-6.6-6gb-24gb-ram-64-gb-dual-sim-5000mah-black-1yr-wrty-325920778.html,https://www.jumia.co.ke/itel-a100c-4g-6.6-6gb-24gb-ram-64-gb-dual-sim-5000mah-black-1yr-wrty-325920778.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/7029523/1.jpg?0703,Itel,IT910MP6ETTIGNAFAMZ
"AGM NOTE N1, 6.52'' Display, 16(8+8)GB RAM + 128GB ROM (Dual Sim) 50MP, 4900mAh - Black","KSh 9,324","KSh 19,602",52%,/agm-note-n1-6.52-display-1688gb-ram-128gb-rom-dual-sim-50mp-4900mah-black-129715373.html,https://www.jumia.co.ke/agm-note-n1-6.52-display-1688gb-ram-128gb-rom-dual-sim-50mp-4900mah-black-129715373.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/3517921/1.jpg?2116,AGM,AG910MP29RXBKNAFAMZ
"Freeyond FreeYond M5,8GB+128GB,4G 6.52"" Smartphone 5000mAh,Blue","KSh 9,399","KSh 17,644",47%,/freeyond-freeyond-m58gb128gb4g-6.52-smartphone-5000mahblue-109534189.html,https://www.jumia.co.ke/freeyond-freeyond-m58gb128gb4g-6.52-smartphone-5000mahblue-109534189.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/1435901/1.jpg?7588,Freeyond,FR407MP39YWKMNAFAMZ
